Number of particles: 100
Nmax: 4
Gamma: 0.005
Step size: 0.0025
Batch size: 20000
Batch count: 10
             Batch number               Average n0          Fluctuations n0                   Energy           Particle count                 Momentum
                        1              24.08516845              5.661295018                288.12333              99.99998276             -47.22501009
                        2              24.13251822              5.656777973              288.1233331              99.99998291             -47.22501051
                        3              24.30554781              5.696118477              288.1233363              99.99998307             -47.22501093
                        4              24.23161427              5.688741153              288.1233395              99.99998323             -47.22501136
                        5              24.13481784              5.700080835              288.1233427              99.99998338             -47.22501177
                        6              24.06330443              5.705297143              288.1233459              99.99998354             -47.22501217
                        7              24.16773367              5.644322611              288.1233491               99.9999837             -47.22501258
                        8              24.26369516              5.673766597              288.1233523              99.99998386               -47.225013
                        9              24.14980243              5.659615461              288.1233554              99.99998401             -47.22501342
                       10              24.05607339              5.739632526              288.1233586              99.99998417             -47.22501384
